date,balance_courante_pct_pib,delta_balance_courante,ouverture_commerciale,exports_usd,imports_usd,log_exports,balance_courante_pct_pib_annual,ouverture_commerciale_annual
2022-Q2,-3.6903,0.1577,39.0087,2199808415.6017,2757280564.8582,21.5116,-3.394,41.2866
2022-Q3,-3.5422,0.3752,40.1477,2199808415.6017,2757280564.8582,21.5116,-3.394,41.2866
2022-Q4,-3.394,0.5927,41.2866,2199808415.6017,2757280564.8582,21.5116,-3.394,41.2866
2023-Q1,-3.5794,0.2591,40.4375,2141340934.371,2868956500.6257,21.4847,-4.1358,37.8903
2023-Q2,-3.7649,-0.0745,39.5885,2141340934.371,2868956500.6257,21.4847,-4.1358,37.8903
2023-Q3,-3.9503,-0.4082,38.7394,2141340934.371,2868956500.6257,21.4847,-4.1358,37.8903
2023-Q4,-4.1358,-0.7418,37.8903,2141340934.371,2868956500.6257,21.4847,-4.1358,37.8903
2024-Q1,-4.1358,-0.5564,37.0185,,,,,34.4032
2024-Q2,-4.1358,-0.3709,36.1468,,,,,34.4032
2024-Q3,-4.1358,-0.1855,35.275,,,,,34.4032
2024-Q4,-4.1358,0.0,34.4032,,,,,34.4032
